Data supplied by UK-AIR on 28/2/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Manchester Piccadilly,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2025,01:00,68.375,R,ugm-3 (FIDAS),10.79159,R,ugm-3,31.71815,R,ugm-3,48.26502,R,ugm-3,41.84318,R,ugm-3,57.807,R,ugm-3 (Ref.eq),0.70275,R,ugm-3
01-01-2025,02:00,5.900,R,ugm-3 (FIDAS),1.28581,R,ugm-3,23.07829,R,ugm-3,25.04983,R,ugm-3,53.35171,R,ugm-3,4.835,R,ugm-3 (Ref.eq),1.05413,R,ugm-3
01-01-2025,03:00,4.125,R,ugm-3 (FIDAS),1.23989,R,ugm-3,20.16741,R,ugm-3,22.06854,R,ugm-3,53.08562,R,ugm-3,3.278,R,ugm-3 (Ref.eq),0.92236,R,ugm-3
01-01-2025,04:00,2.550,R,ugm-3 (FIDAS),1.20544,R,ugm-3,10.32378,R,ugm-3,12.17210,R,ugm-3,65.60864,R,ugm-3,1.439,R,ugm-3 (Ref.eq),0.72471,R,ugm-3
01-01-2025,05:00,1.225,R,ugm-3 (FIDAS),0.51662,R,ugm-3,7.09327,R,ugm-3,7.88540,R,ugm-3,67.55445,R,ugm-3,0.849,R,ugm-3 (Ref.eq),0.72471,R,ugm-3
01-01-2025,06:00,1.000,R,ugm-3 (FIDAS),0.44774,R,ugm-3,6.88135,R,ugm-3,7.56787,R,ugm-3,69.35058,R,ugm-3,0.731,R,ugm-3 (Ref.eq),0.52706,R,ugm-3
01-01-2025,07:00,1.475,R,ugm-3 (FIDAS),0.37885,R,ugm-3,6.45775,R,ugm-3,7.03865,R,ugm-3,70.54800,R,ugm-3,0.920,R,ugm-3 (Ref.eq),0.85648,R,ugm-3
01-01-2025,08:00,2.025,R,ugm-3 (FIDAS),0.48218,R,ugm-3,9.05127,R,ugm-3,9.79060,R,ugm-3,69.94929,R,ugm-3,1.297,R,ugm-3 (Ref.eq),1.05413,R,ugm-3
01-01-2025,09:00,3.025,R,ugm-3 (FIDAS),0.65438,R,ugm-3,9.73983,R,ugm-3,10.74320,R,ugm-3,68.25294,R,ugm-3,1.226,R,ugm-3 (Ref.eq),0.79060,R,ugm-3
01-01-2025,10:00,4.275,R,ugm-3 (FIDAS),0.65438,R,ugm-3,10.74535,R,ugm-3,11.74872,R,ugm-3,65.10971,R,ugm-3,1.651,R,ugm-3 (Ref.eq),0.59295,R,ugm-3
01-01-2025,11:00,8.800,R,ugm-3 (FIDAS),0.68883,R,ugm-3,10.21624,R,ugm-3,11.27242,R,ugm-3,61.26799,R,ugm-3,4.009,R,ugm-3 (Ref.eq),0.59295,R,ugm-3
01-01-2025,12:00,10.025,R,ugm-3 (FIDAS),0.96436,R,ugm-3,9.47623,R,ugm-3,10.95489,R,ugm-3,60.27014,R,ugm-3,4.292,R,ugm-3 (Ref.eq),0.59295,R,ugm-3
01-01-2025,13:00,15.100,R,ugm-3 (FIDAS),1.03324,R,ugm-3,12.12257,R,ugm-3,13.70684,R,ugm-3,56.37853,R,ugm-3,6.109,R,ugm-3 (Ref.eq),0.65883,R,ugm-3
01-01-2025,14:00,11.500,R,ugm-3 (FIDAS),1.03324,R,ugm-3,9.58230,R,ugm-3,11.16658,R,ugm-3,59.62154,R,ugm-3,4.410,R,ugm-3 (Ref.eq),0.46118,R,ugm-3
01-01-2025,15:00,9.175,R,ugm-3 (FIDAS),1.17100,R,ugm-3,12.17594,R,ugm-3,13.97145,R,ugm-3,55.63014,R,ugm-3,4.057,R,ugm-3 (Ref.eq),0.52706,R,ugm-3
01-01-2025,16:00,8.425,R,ugm-3 (FIDAS),1.17100,R,ugm-3,17.15063,R,ugm-3,18.94614,R,ugm-3,47.54755,R,ugm-3,4.859,R,ugm-3 (Ref.eq),0.52706,R,ugm-3
01-01-2025,17:00,13.000,R,ugm-3 (FIDAS),1.06768,R,ugm-3,19.53178,R,ugm-3,21.16887,R,ugm-3,43.80562,R,ugm-3,7.382,R,ugm-3 (Ref.eq),0.39530,R,ugm-3
01-01-2025,18:00,5.850,R,ugm-3 (FIDAS),1.23989,R,ugm-3,16.03949,R,ugm-3,17.94062,R,ugm-3,48.59530,R,ugm-3,4.363,R,ugm-3 (Ref.eq),0.39530,R,ugm-3
01-01-2025,19:00,4.075,R,ugm-3 (FIDAS),0.89547,R,ugm-3,18.10232,R,ugm-3,19.47536,R,ugm-3,43.65594,R,ugm-3,3.302,R,ugm-3 (Ref.eq),0.19765,R,ugm-3
01-01-2025,20:00,4.975,R,ugm-3 (FIDAS),1.68762,R,ugm-3,24.61435,R,ugm-3,27.20199,R,ugm-3,34.12647,R,ugm-3,4.009,R,ugm-3 (Ref.eq),0.26353,R,ugm-3
01-01-2025,21:00,8.575,R,ugm-3 (FIDAS),0.86103,R,ugm-3,20.27202,R,ugm-3,21.59225,R,ugm-3,38.96604,R,ugm-3,7.099,R,ugm-3 (Ref.eq),0.32941,R,ugm-3
01-01-2025,22:00,11.525,R,ugm-3 (FIDAS),3.13415,R,ugm-3,44.83536,R,ugm-3,49.64100,R,ugm-3,16.51442,R,ugm-3,9.340,R,ugm-3 (Ref.eq),0.26353,R,ugm-3
01-01-2025,23:00,8.900,R,ugm-3 (FIDAS),4.82177,R,ugm-3,41.45388,R,ugm-3,48.84716,R,ugm-3,18.51012,R,ugm-3,6.958,R,ugm-3 (Ref.eq),0.26353,R,ugm-3
01-01-2025,24:00,8.500,R,ugm-3 (FIDAS),3.16860,R,ugm-3,40.28417,R,ugm-3,45.14261,R,ugm-3,19.25851,R,ugm-3,5.920,R,ugm-3 (Ref.eq),0.13177,R,ugm-3
02-01-2025,01:00,7.500,R,ugm-3 (FIDAS),1.88568,R,ugm-3,28.05923,R,ugm-3,30.95056,R,ugm-3,29.13722,R,ugm-3,5.024,R,ugm-3 (Ref.eq),0.52702,R,ugm-3
02-01-2025,02:00,6.175,R,ugm-3 (FIDAS),0.59790,R,ugm-3,17.45572,R,ugm-3,18.37248,R,ugm-3,36.92045,R,ugm-3,3.797,R,ugm-3 (Ref.eq),0.35135,R,ugm-3
02-01-2025,03:00,7.375,R,ugm-3 (FIDAS),0.79337,R,ugm-3,20.77750,R,ugm-3,21.99398,R,ugm-3,31.83142,R,ugm-3,5.118,R,ugm-3 (Ref.eq),0.32939,R,ugm-3
02-01-2025,04:00,5.400,R,ugm-3 (FIDAS),0.62090,R,ugm-3,13.78129,R,ugm-3,14.73332,R,ugm-3,34.67529,R,ugm-3,3.467,R,ugm-3 (Ref.eq),0.06588,R,ugm-3
02-01-2025,05:00,4.925,R,ugm-3 (FIDAS),4.27727,R,ugm-3,31.01686,R,ugm-3,37.57526,R,ugm-3,20.00689,R,ugm-3,3.231,R,ugm-3 (Ref.eq),0.26351,R,ugm-3
02-01-2025,06:00,5.225,R,ugm-3 (FIDAS),4.69120,R,ugm-3,32.92606,R,ugm-3,40.11914,R,ugm-3,20.40603,R,ugm-3,3.255,R,ugm-3 (Ref.eq),0.19763,R,ugm-3
02-01-2025,07:00,5.200,R,ugm-3 (FIDAS),10.79667,R,ugm-3,45.82345,R,ugm-3,62.37811,R,ugm-3,9.72904,R,ugm-3,3.302,R,ugm-3 (Ref.eq),0.19763,R,ugm-3
02-01-2025,08:00,5.100,R,ugm-3 (FIDAS),9.34791,R,ugm-3,44.65300,R,ugm-3,58.98626,R,ugm-3,14.61850,R,ugm-3,3.278,R,ugm-3 (Ref.eq),0.26351,R,ugm-3
02-01-2025,09:00,9.600,R,ugm-3 (FIDAS),15.76382,R,ugm-3,52.72858,R,ugm-3,76.89943,R,ugm-3,8.43183,R,ugm-3,4.552,R,ugm-3 (Ref.eq),0.26351,R,ugm-3
02-01-2025,10:00,6.975,R,ugm-3 (FIDAS),31.32068,R,ugm-3,58.81868,R,ugm-3,106.84304,R,ugm-3,6.03699,R,ugm-3,3.962,R,ugm-3 (Ref.eq),0.65878,R,ugm-3
02-01-2025,11:00,10.200,R,ugm-3 (FIDAS),19.24773,R,ugm-3,48.81759,R,ugm-3,78.33037,R,ugm-3,16.66410,R,ugm-3,6.014,R,ugm-3 (Ref.eq),0.46115,R,ugm-3
02-01-2025,12:00,13.925,R,ugm-3 (FIDAS),,,,,,,,,,,,,6.745,R,ugm-3 (Ref.eq),,,
02-01-2025,13:00,13.375,R,ugm-3 (FIDAS),,,,,,,,,,33.06210,R,ugm-3,6.887,R,ugm-3 (Ref.eq),,,
