Data supplied by UK-AIR on 13/4/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Manchester Piccadilly,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2023,01:00,29.225,R,ugm-3 (FIDAS),5.17411,R,ugm-3,19.12272,R,ugm-3,27.05624,R,ugm-3,52.42039,R,ugm-3,23.986,R,ugm-3 (Ref.eq),1.08764,R,ugm-3
01-01-2023,02:00,4.950,R,ugm-3 (FIDAS),1.05492,R,ugm-3,17.11373,R,ugm-3,18.73124,R,ugm-3,55.87960,R,ugm-3,3.208,R,ugm-3 (Ref.eq),0.90637,R,ugm-3
01-01-2023,03:00,5.900,R,ugm-3 (FIDAS),1.31864,R,ugm-3,19.07966,R,ugm-3,21.10156,R,ugm-3,54.23315,R,ugm-3,4.599,R,ugm-3 (Ref.eq),0.54382,R,ugm-3
01-01-2023,04:00,3.825,R,ugm-3 (FIDAS),0.94189,R,ugm-3,15.55266,R,ugm-3,16.99687,R,ugm-3,55.97939,R,ugm-3,2.807,R,ugm-3 (Ref.eq),0.47584,R,ugm-3
01-01-2023,05:00,3.550,R,ugm-3 (FIDAS),0.64049,R,ugm-3,13.99137,R,ugm-3,14.97343,R,ugm-3,58.12476,R,ugm-3,1.958,R,ugm-3 (Ref.eq),0.61180,R,ugm-3
01-01-2023,06:00,3.125,R,ugm-3 (FIDAS),0.94189,R,ugm-3,21.33391,R,ugm-3,22.77812,R,ugm-3,49.79272,R,ugm-3,1.675,R,ugm-3 (Ref.eq),0.61180,R,ugm-3
01-01-2023,07:00,4.525,R,ugm-3 (FIDAS),0.64049,R,ugm-3,13.47106,R,ugm-3,14.45312,R,ugm-3,54.88175,R,ugm-3,2.311,R,ugm-3 (Ref.eq),0.61180,R,ugm-3
01-01-2023,08:00,4.050,R,ugm-3 (FIDAS),0.45211,R,ugm-3,9.53959,R,ugm-3,10.23281,R,ugm-3,59.97079,R,ugm-3,2.453,R,ugm-3 (Ref.eq),0.47584,R,ugm-3
01-01-2023,09:00,5.400,R,ugm-3 (FIDAS),0.75351,R,ugm-3,12.25713,R,ugm-3,13.41250,R,ugm-3,52.23745,R,ugm-3,3.184,R,ugm-3 (Ref.eq),0.33989,R,ugm-3
