Data supplied by UK-AIR on 30/5/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Birmingham A4540 Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2023,01:00,9.450,R,ugm-3 (FIDAS),9.08503,R,ugm-3,14.17608,R,ugm-3,28.10625,R,ugm-3,61.33451,R,ugm-3,7.123,R,ugm-3 (Ref.eq),0.70,R,ugm-3,0.80,R,ugm-3,0.70,R,ugm-3,0.70,R,ugm-3,0.20,R,ugm-3,0.90,R,ugm-3,0.70,R,ugm-3
01-01-2023,02:00,7.225,R,ugm-3 (FIDAS),6.02578,R,ugm-3,10.04362,R,ugm-3,19.28302,R,ugm-3,65.79158,R,ugm-3,4.057,R,ugm-3 (Ref.eq),0.40,R,ugm-3,0.50,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.10,R,ugm-3,0.50,R,ugm-3,0.40,R,ugm-3
01-01-2023,03:00,8.650,R,ugm-3 (FIDAS),5.49273,R,ugm-3,11.48356,R,ugm-3,19.90563,R,ugm-3,66.40692,R,ugm-3,4.363,R,ugm-3 (Ref.eq),0.40,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.00,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3
01-01-2023,04:00,7.325,R,ugm-3 (FIDAS),4.76269,R,ugm-3,8.76058,R,ugm-3,16.06326,R,ugm-3,67.25509,R,ugm-3,4.127,R,ugm-3 (Ref.eq),0.40,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.00,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3
01-01-2023,05:00,9.400,R,ugm-3 (FIDAS),2.95495,R,ugm-3,8.22369,R,ugm-3,12.75455,R,ugm-3,68.25294,R,ugm-3,5.024,R,ugm-3 (Ref.eq),0.30,R,ugm-3,0.30,R,ugm-3,0.30,R,ugm-3,0.30,R,ugm-3,0.00,R,ugm-3,0.30,R,ugm-3,0.30,R,ugm-3
01-01-2023,06:00,10.725,R,ugm-3 (FIDAS),2.57255,R,ugm-3,6.56865,R,ugm-3,10.51316,R,ugm-3,66.55660,R,ugm-3,5.778,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2023,07:00,9.775,R,ugm-3 (FIDAS),3.12877,R,ugm-3,6.83647,R,ugm-3,11.63385,R,ugm-3,69.69982,R,ugm-3,5.542,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2023,08:00,10.325,R,ugm-3 (FIDAS),3.33736,R,ugm-3,8.22437,R,ugm-3,13.34158,R,ugm-3,67.45466,R,ugm-3,5.283,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2023,09:00,10.950,R,ugm-3 (FIDAS),2.98971,R,ugm-3,11.74592,R,ugm-3,16.33009,R,ugm-3,63.96219,R,ugm-3,5.896,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
