Data supplied by UK-AIR on 1/5/2025
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Birmingham A4540 Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2024,01:00,13.050,R,ugm-3 (FIDAS),8.92532,R,ugm-3,15.60503,R,ugm-3,29.29033,R,ugm-3,55.08132,R,ugm-3,8.962,R,ugm-3 (Ref.eq),0.60,R,ugm-3,0.70,R,ugm-3,0.60,R,ugm-3,0.60,R,ugm-3,0.20,R,ugm-3,0.80,R,ugm-3,0.60,R,ugm-3
01-01-2024,02:00,6.800,R,ugm-3 (FIDAS),7.81568,R,ugm-3,15.74924,R,ugm-3,27.73312,R,ugm-3,57.27659,R,ugm-3,3.821,R,ugm-3 (Ref.eq),0.40,R,ugm-3,0.50,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.10,R,ugm-3,0.50,R,ugm-3,0.40,R,ugm-3
01-01-2024,03:00,5.300,R,ugm-3 (FIDAS),4.74007,R,ugm-3,10.19496,R,ugm-3,17.46297,R,ugm-3,61.46756,R,ugm-3,3.255,R,ugm-3 (Ref.eq),0.60,R,ugm-3,0.60,R,ugm-3,0.60,R,ugm-3,0.60,R,ugm-3,0.00,R,ugm-3,0.60,R,ugm-3,0.60,R,ugm-3
01-01-2024,04:00,5.000,R,ugm-3 (FIDAS),4.19731,R,ugm-3,8.91383,R,ugm-3,15.34961,R,ugm-3,59.32218,R,ugm-3,2.736,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.30,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.30,R,ugm-3,0.20,R,ugm-3
01-01-2024,05:00,4.750,R,ugm-3 (FIDAS),3.47364,R,ugm-3,7.91009,R,ugm-3,13.23626,R,ugm-3,59.17251,R,ugm-3,2.594,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2024,06:00,4.350,R,ugm-3 (FIDAS),3.61837,R,ugm-3,6.57588,R,ugm-3,12.12397,R,ugm-3,61.51745,R,ugm-3,2.406,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2024,07:00,5.450,R,ugm-3 (FIDAS),3.32890,R,ugm-3,8.91062,R,ugm-3,14.01487,R,ugm-3,60.36993,R,ugm-3,2.830,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.10,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2024,08:00,7.450,R,ugm-3 (FIDAS),3.47364,R,ugm-3,9.57853,R,ugm-3,14.90470,R,ugm-3,61.96649,R,ugm-3,3.726,R,ugm-3 (Ref.eq),0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3,0.00,R,ugm-3,0.20,R,ugm-3,0.20,R,ugm-3
01-01-2024,09:00,11.400,R,ugm-3 (FIDAS),3.79929,R,ugm-3,12.63853,R,ugm-3,18.46403,R,ugm-3,58.52390,R,ugm-3,5.425,R,ugm-3 (Ref.eq),0.40,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3,0.00,R,ugm-3,0.40,R,ugm-3,0.40,R,ugm-3
