Data supplied by UK-AIR on 10/3/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Birmingham A4540 Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2025,01:00,7.225,R,ugm-3 (FIDAS),5.03338,R,ugm-3,6.61641,R,ugm-3,14.33415,R,ugm-3,69.84950,R,ugm-3,5.094,R,ugm-3 (Ref.eq),0.80,P,ugm-3,0.90,P,ugm-3,0.70,P,ugm-3,0.80,P,ugm-3,,,,0.90,P,ugm-3,0.80,P,ugm-3
01-01-2025,02:00,4.075,R,ugm-3 (FIDAS),6.02032,R,ugm-3,7.15086,R,ugm-3,16.38189,R,ugm-3,72.17782,R,ugm-3,2.170,R,ugm-3 (Ref.eq),0.30,P,ugm-3,0.30,P,ugm-3,0.20,P,ugm-3,0.30,P,ugm-3,,,,0.30,P,ugm-3,0.30,P,ugm-3
01-01-2025,03:00,5.225,R,ugm-3 (FIDAS),3.18288,R,ugm-3,4.10695,R,ugm-3,8.98729,R,ugm-3,76.23574,R,ugm-3,2.476,R,ugm-3 (Ref.eq),0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,0.30,P,ugm-3,,,,0.30,P,ugm-3,0.30,P,ugm-3
01-01-2025,04:00,5.975,R,ugm-3 (FIDAS),2.77576,R,ugm-3,3.08161,R,ugm-3,7.33772,R,ugm-3,78.97983,R,ugm-3,2.712,R,ugm-3 (Ref.eq),0.20,P,ugm-3,0.20,P,ugm-3,0.10,P,ugm-3,0.20,P,ugm-3,,,,0.10,P,ugm-3,0.20,P,ugm-3
01-01-2025,05:00,3.500,R,ugm-3 (FIDAS),1.59144,R,ugm-3,3.24799,R,ugm-3,5.68816,R,ugm-3,76.08606,R,ugm-3,1.722,R,ugm-3 (Ref.eq),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,06:00,3.100,R,ugm-3 (FIDAS),1.55443,R,ugm-3,2.90656,R,ugm-3,5.28999,R,ugm-3,78.73037,R,ugm-3,1.745,R,ugm-3 (Ref.eq),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,07:00,4.500,R,ugm-3 (FIDAS),1.66546,R,ugm-3,3.02073,R,ugm-3,5.57439,R,ugm-3,79.37897,R,ugm-3,2.382,R,ugm-3 (Ref.eq),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,08:00,3.400,R,ugm-3 (FIDAS),1.66546,R,ugm-3,2.79320,R,ugm-3,5.34687,R,ugm-3,79.32908,R,ugm-3,1.910,R,ugm-3 (Ref.eq),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,09:00,1.325,R,ugm-3 (FIDAS),2.44267,R,ugm-3,14.00167,R,ugm-3,17.74704,R,ugm-3,68.00348,R,ugm-3,0.542,R,ugm-3 (Ref.eq),0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3,,,,,,,0.20,P,ugm-3
