Data supplied by UK-AIR on 15/3/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Newcastle Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2023,01:00,7.730,R,ugm-3 (Ref.eq),1.72863,R,ugm-3,43.40641,R,ugm-3,46.05694,R,ugm-3,32.26382,R,ugm-3,9.000,R,ugm-3 (BAM)
01-01-2023,02:00,7.730,R,ugm-3 (Ref.eq),2.40322,R,ugm-3,47.94293,R,ugm-3,51.62782,R,ugm-3,18.62653,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2023,03:00,9.662,R,ugm-3 (Ref.eq),2.21349,R,ugm-3,37.70747,R,ugm-3,41.10144,R,ugm-3,19.50797,R,ugm-3,11.000,R,ugm-3 (BAM)
01-01-2023,04:00,4.831,R,ugm-3 (Ref.eq),1.64431,R,ugm-3,21.09023,R,ugm-3,23.61147,R,ugm-3,48.19616,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2023,05:00,3.865,R,ugm-3 (Ref.eq),1.39134,R,ugm-3,18.36878,R,ugm-3,20.50214,R,ugm-3,56.52820,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2023,06:00,1.932,R,ugm-3 (Ref.eq),1.23323,R,ugm-3,23.12946,R,ugm-3,25.02038,R,ugm-3,55.13121,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2023,07:00,-2.899,R,ugm-3 (Ref.eq),1.04350,R,ugm-3,22.83737,R,ugm-3,24.43738,R,ugm-3,54.28304,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2023,08:00,0.000,R,ugm-3 (Ref.eq),0.47432,R,ugm-3,19.92061,R,ugm-3,20.64789,R,ugm-3,59.37208,R,ugm-3,3.000,R,ugm-3 (BAM)
01-01-2023,09:00,0.000,R,ugm-3 (Ref.eq),1.07512,R,ugm-3,29.10471,R,ugm-3,30.75321,R,ugm-3,50.44132,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2023,10:00,1.932,R,ugm-3 (Ref.eq),0.75891,R,ugm-3,23.71098,R,ugm-3,24.87463,R,ugm-3,60.91874,R,ugm-3,-1.000,R,ugm-3 (BAM)
01-01-2023,11:00,4.831,R,ugm-3 (Ref.eq),0.56918,R,ugm-3,14.77108,R,ugm-3,15.64381,R,ugm-3,69.74972,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2023,12:00,9.662,R,ugm-3 (Ref.eq),0.91702,R,ugm-3,13.07174,R,ugm-3,14.47781,R,ugm-3,74.09036,R,ugm-3,4.000,R,ugm-3 (BAM)
01-01-2023,13:00,5.797,R,ugm-3 (Ref.eq),0.82215,R,ugm-3,14.33461,R,ugm-3,15.59523,R,ugm-3,73.99058,R,ugm-3,0.000,R,ugm-3 (BAM)
01-01-2023,14:00,6.763,R,ugm-3 (Ref.eq),0.69567,R,ugm-3,18.46380,R,ugm-3,19.53047,R,ugm-3,70.34843,R,ugm-3,1.000,R,ugm-3 (BAM)
01-01-2023,15:00,4.831,R,ugm-3 (Ref.eq),0.63243,R,ugm-3,15.84010,R,ugm-3,16.80981,R,ugm-3,70.74757,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2023,16:00,1.932,R,ugm-3 (Ref.eq),0.56918,R,ugm-3,18.80349,R,ugm-3,19.67622,R,ugm-3,68.70197,R,ugm-3,2.000,R,ugm-3 (BAM)
01-01-2023,17:00,5.797,R,ugm-3 (Ref.eq),0.85378,R,ugm-3,34.54535,R,ugm-3,35.85445,R,ugm-3,52.33723,R,ugm-3,5.000,R,ugm-3 (BAM)
01-01-2023,18:00,11.594,R,ugm-3 (Ref.eq),0.79053,R,ugm-3,33.86499,R,ugm-3,35.07712,R,ugm-3,52.88605,R,ugm-3,6.000,R,ugm-3 (BAM)
01-01-2023,19:00,6.763,R,ugm-3 (Ref.eq),0.88540,R,ugm-3,36.10011,R,ugm-3,37.45770,R,ugm-3,47.89680,R,ugm-3,7.000,R,ugm-3 (BAM)
01-01-2023,20:00,6.763,R,ugm-3 (Ref.eq),1.32810,R,ugm-3,34.93548,R,ugm-3,36.97187,R,ugm-3,47.54755,R,ugm-3,5.000,R,ugm-3 (BAM)
