Data supplied by UK-AIR on 22/2/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Newcastle Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Black Carbon (880nm)",status,unit,"Blue Particulate matter (470nm)",status,unit,"Infra Red Particulate matter (950nm)",status,unit,"Red Particulate matter (660nm)",status,unit,"UV Particulate Matter (UV-BC)",status,unit,"UV Particulate Matter (370nm)",status,unit,"Yellow Particulate matter (590nm)",status,unit
 
01-01-2025,01:00,5.797,R,ugm-3 (Ref.eq),0.94847,R,ugm-3,12.85118,R,ugm-3,14.30547,R,ugm-3,69.38384,R,ugm-3,10.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,02:00,3.865,R,ugm-3 (Ref.eq),1.03469,R,ugm-3,10.69527,R,ugm-3,12.28177,R,ugm-3,73.77438,R,ugm-3,6.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,03:00,6.763,R,ugm-3 (Ref.eq),0.61435,R,ugm-3,8.63570,R,ugm-3,9.57769,R,ugm-3,75.68692,R,ugm-3,4.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,04:00,1.932,R,ugm-3 (Ref.eq),0.48501,R,ugm-3,8.15363,R,ugm-3,8.89731,R,ugm-3,74.09036,R,ugm-3,2.000,R,ugm-3 (BAM),0.00,P,ugm-3,0.10,P,ugm-3,0.00,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.00,P,ugm-3
01-01-2025,05:00,0.000,R,ugm-3 (Ref.eq),0.74369,R,ugm-3,11.62995,R,ugm-3,12.77025,R,ugm-3,65.35918,R,ugm-3,2.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.00,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,06:00,1.932,R,ugm-3 (Ref.eq),0.45268,R,ugm-3,7.83685,R,ugm-3,8.53095,R,ugm-3,69.00133,R,ugm-3,0.000,R,ugm-3 (BAM),0.00,P,ugm-3,,,,0.00,P,ugm-3,0.00,P,ugm-3,,,,,,,0.00,P,ugm-3
01-01-2025,07:00,0.000,R,ugm-3 (Ref.eq),0.48501,R,ugm-3,7.57792,R,ugm-3,8.32160,R,ugm-3,74.88864,R,ugm-3,-2.000,R,ugm-3 (BAM),0.00,P,ugm-3,,,,0.00,P,ugm-3,0.00,P,ugm-3,,,,,,,0.00,P,ugm-3
01-01-2025,08:00,0.966,R,ugm-3 (Ref.eq),0.54968,R,ugm-3,7.16474,R,ugm-3,8.00757,R,ugm-3,73.29208,R,ugm-3,-1.000,R,ugm-3 (BAM),0.00,P,ugm-3,,,,0.00,P,ugm-3,0.00,P,ugm-3,,,,0.00,P,ugm-3,0.00,P,ugm-3
01-01-2025,09:00,1.932,R,ugm-3 (Ref.eq),0.77602,R,ugm-3,13.46451,R,ugm-3,14.65439,R,ugm-3,61.61724,R,ugm-3,1.000,R,ugm-3 (BAM),0.00,P,ugm-3,0.00,P,ugm-3,0.00,P,ugm-3,0.00,P,ugm-3,,,,0.00,P,ugm-3,0.00,P,ugm-3
01-01-2025,10:00,3.865,R,ugm-3 (Ref.eq),0.16167,R,ugm-3,5.92789,R,ugm-3,6.17578,R,ugm-3,65.85810,R,ugm-3,2.000,R,ugm-3 (BAM),0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,11:00,2.899,R,ugm-3 (Ref.eq),0.58201,R,ugm-3,3.29456,R,ugm-3,4.18697,R,ugm-3,67.80391,R,ugm-3,2.000,R,ugm-3 (BAM),0.00,P,ugm-3,0.10,P,ugm-3,0.00,P,ugm-3,0.00,P,ugm-3,,,,0.00,P,ugm-3,0.00,P,ugm-3
01-01-2025,12:00,2.899,R,ugm-3 (Ref.eq),0.71135,R,ugm-3,2.52054,R,ugm-3,3.61126,R,ugm-3,69.84950,R,ugm-3,3.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,13:00,2.899,R,ugm-3 (Ref.eq),0.74369,R,ugm-3,2.47096,R,ugm-3,3.61126,R,ugm-3,68.05337,R,ugm-3,2.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,,,,0.10,P,ugm-3
01-01-2025,14:00,3.865,R,ugm-3 (Ref.eq),0.51735,R,ugm-3,2.50399,R,ugm-3,3.29724,R,ugm-3,69.64993,R,ugm-3,3.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,15:00,9.662,R,ugm-3 (Ref.eq),0.58201,R,ugm-3,3.66092,R,ugm-3,4.55333,R,ugm-3,70.09896,R,ugm-3,3.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,16:00,5.797,R,ugm-3 (Ref.eq),0.45268,R,ugm-3,4.69662,R,ugm-3,5.39072,R,ugm-3,68.20305,R,ugm-3,4.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.10,P,ugm-3,0.10,P,ugm-3
01-01-2025,17:00,6.763,R,ugm-3 (Ref.eq),0.25867,R,ugm-3,9.23340,R,ugm-3,9.63003,R,ugm-3,62.26584,R,ugm-3,3.000,R,ugm-3 (BAM),0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2025,18:00,8.696,R,ugm-3 (Ref.eq),0.67902,R,ugm-3,9.84497,R,ugm-3,10.88611,R,ugm-3,56.32863,R,ugm-3,2.000,R,ugm-3 (BAM),0.20,P,ugm-3,0.30,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.30,P,ugm-3,0.30,P,ugm-3
01-01-2025,19:00,14.493,R,ugm-3 (Ref.eq),0.54968,R,ugm-3,7.00773,R,ugm-3,7.85056,R,ugm-3,60.81896,R,ugm-3,3.000,R,ugm-3 (BAM),0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2025,20:00,6.763,R,ugm-3 (Ref.eq),0.58201,R,ugm-3,8.16191,R,ugm-3,9.05432,R,ugm-3,60.32003,R,ugm-3,2.000,R,ugm-3 (BAM),0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2025,21:00,8.696,R,ugm-3 (Ref.eq),0.42034,R,ugm-3,6.05463,R,ugm-3,6.69915,R,ugm-3,61.21810,R,ugm-3,-3.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.20,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.20,P,ugm-3,0.10,P,ugm-3
01-01-2025,22:00,8.696,R,ugm-3 (Ref.eq),0.54968,R,ugm-3,6.06567,R,ugm-3,6.90850,R,ugm-3,58.52390,R,ugm-3,-2.000,R,ugm-3 (BAM),0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.20,P,ugm-3,0.20,P,ugm-3
01-01-2025,23:00,4.831,R,ugm-3 (Ref.eq),0.51735,R,ugm-3,7.52834,R,ugm-3,8.32160,R,ugm-3,58.62369,R,ugm-3,3.000,R,ugm-3 (BAM),0.10,P,ugm-3,0.20,P,ugm-3,0.10,P,ugm-3,0.10,P,ugm-3,,,,0.20,P,ugm-3,0.10,P,ugm-3
01-01-2025,24:00,3.865,R,ugm-3 (Ref.eq),0.35568,R,ugm-3,7.82857,R,ugm-3,8.37394,R,ugm-3,54.43272,R,ugm-3,4.000,R,ugm-3 (BAM),0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,0.20,P,ugm-3,,,,0.30,P,ugm-3,0.20,P,ugm-3
